,combinedPval,adjustedPval
GPX3,6.85843906953661e-18,1.6238625879889e-15
ENSGALG00000000604,7.61989264226514e-18,1.80048386352828e-15
OTUB1,7.79726832606017e-18,1.8386583745322e-15
PRORSD1P,7.92725523821473e-18,1.86552630139016e-15
DLD,8.7080416714869e-18,2.04512935935415e-15
ENSGALG00000053871,8.76740424201098e-18,2.0549196183099e-15
ENSGALG00000019509,9.66939391460451e-18,2.26176952416238e-15
ENSGALG00000031069,1.1486781133393e-17,2.68147953696954e-15
SVBP,1.36862634796283e-17,3.18852505937287e-15
SDHD,1.61655418612936e-17,3.75859685362615e-15
AKAP12,1.70166469259184e-17,3.94858731218183e-15
B4GALT2,1.74201103438051e-17,4.03415581295894e-15
ACTA2,1.78651799547372e-17,4.12900010379608e-15
CLTA,1.79671735018674e-17,4.14433361892157e-15
ENSGALG00000055117,1.85679699510611e-17,4.27443315835789e-15
CYTL1,2.11928455862442e-17,4.86905007096255e-15
SUB1,2.23716584209259e-17,5.12974414045968e-15
EIF3K,2.24912923024022e-17,5.14702385617452e-15
SUMO2,2.28375387822358e-17,5.21599299175692e-15
COL5A1,2.36486196870332e-17,5.39064962089603e-15
NDUFB9,2.3796833659979e-17,5.41381933035576e-15
ENSGALG00000051169,2.38627695836487e-17,5.41821669912043e-15
ENSGALG00000021848,2.45312139854785e-17,5.55913421486879e-15
ENSGALG00000055073,2.66863359555505e-17,6.03575098253492e-15
EIF3E,2.87643149974863e-17,6.49310297834221e-15
TMEM258,2.91947166919075e-17,6.57748773932238e-15
TAX1BP3,2.99813149911498e-17,6.74164093304406e-15
MB,3.30983625445121e-17,7.41386433241676e-15
CTNNB1,3.30448226944065e-17,7.41386433241676e-15
ADCYAP1,3.31872574514709e-17,7.4194806142807e-15
OAT,3.62974489982117e-17,8.09923246029946e-15
CCNI,3.90731511839223e-17,8.70188658009224e-15
ENSGALG00000020322,4.12722053933699e-17,9.17405777760559e-15
LY6E,4.22983255090968e-17,9.38420252023475e-15
MRPS6,4.6537710700809e-17,1.03050759222404e-14
ENSGALG00000042589,5.02352096221128e-17,1.11026834647538e-14
YWHAZ,5.09205533578698e-17,1.1232798878468e-14
HSPA8,5.12820620761251e-17,1.12911204719591e-14
LYPD6B,5.79775902032812e-17,1.27411894079063e-14
ENSGALG00000035994,5.85961740806811e-17,1.28528332942784e-14
SH3GLB2,6.12401368539935e-17,1.34074786830316e-14
THY1,6.25706814208361e-17,1.36730290346815e-14
ITGB1,6.36424820307909e-17,1.38811479548531e-14
SRP14,6.69365144096493e-17,1.45450358229501e-14
SLIRP,6.68609149265423e-17,1.45450358229501e-14
GPI,6.98269755520996e-17,1.51448133612931e-14
MCFD2,7.08906122027582e-17,1.53468739059707e-14
REEP5,7.53993706250623e-17,1.62623925177189e-14
BNAS2,7.52704250206804e-17,1.62623925177189e-14
RHOU,7.75812424088731e-17,1.67019990284368e-14
ARPC5,8.05147623915019e-17,1.73014990873027e-14
RAP1GDS1,8.37063541673636e-17,1.79541406791556e-14
HIST1H103,8.49535437095342e-17,1.81880924730138e-14
PDHA1,8.96546567483033e-17,1.91592911053495e-14
MND1,9.07027233472664e-17,1.93347510118421e-14
ENSGALG00000049348,9.08083412567705e-17,1.93347510118421e-14
AP3S1,9.12730065198747e-17,1.93981589521347e-14
ACADSB,9.1627464272772e-17,1.9437955928289e-14
C1QTNF2,9.23074547966382e-17,1.9546541031637e-14
HTRA1,9.5357257968921e-17,2.01556379414757e-14
SLC9A3R1,9.67661760055548e-17,2.04163199857286e-14
DHRS3,9.77484103650262e-17,2.05861962840325e-14
ENSGALG00000038652,1.0007179687925e-16,2.10373993107531e-14
SEC61A1,1.09036892391514e-16,2.28806935421271e-14
